class_name,precision,recall,f1-score,support,score
agricultural,1.0,1.0,1.0,15.0,
airplane,1.0,1.0,1.0,15.0,
baseballdiamond,1.0,1.0,1.0,15.0,
beach,1.0,1.0,1.0,15.0,
buildings,1.0,0.9333333333333333,0.9655172413793104,15.0,
chaparral,1.0,1.0,1.0,15.0,
denseresidential,1.0,0.8,0.8888888888888888,15.0,
forest,1.0,1.0,1.0,15.0,
freeway,1.0,0.9333333333333333,0.9655172413793104,15.0,
golfcourse,1.0,0.9333333333333333,0.9655172413793104,15.0,
harbor,1.0,1.0,1.0,15.0,
intersection,1.0,1.0,1.0,15.0,
mediumresidential,0.8333333333333334,1.0,0.9090909090909091,15.0,
mobilehomepark,1.0,1.0,1.0,15.0,
overpass,1.0,1.0,1.0,15.0,
parkinglot,1.0,1.0,1.0,15.0,
river,0.9375,1.0,0.967741935483871,15.0,
runway,1.0,1.0,1.0,15.0,
sparseresidential,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0,
storagetanks,0.9375,1.0,0.967741935483871,15.0,
tenniscourt,0.9375,1.0,0.967741935483871,15.0,
accuracy,,,,,0.9777777777777777
macro avg,0.9799603174603175,0.9777777777777779,0.9776709839001275,315.0,
weighted avg,0.9799603174603174,0.9777777777777777,0.9776709839001273,315.0,
