,airplane,airport,baseball_diamond,basketball_court,beach,bridge,chaparral,church,circular_farmland,cloud,commercial_area,dense_residential,desert,forest,freeway,golf_course,ground_track_field,harbor,industrial_area,intersection,island,lake,meadow,medium_residential,mobile_home_park,mountain,overpass,palace,parking_lot,railway,railway_station,rectangular_farmland,river,roundabout,runway,sea_ice,ship,snowberg,sparse_residential,stadium,storage_tank,tennis_court,terrace,thermal_power_station,wetland
airplane,486,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
airport,0,477,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,3,0,1,0,0,0,0,0,0,0,0
baseball_diamond,0,0,484,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
basketball_court,0,0,1,439,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,41,0,0,0
beach,0,0,0,0,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
bridge,0,1,1,0,3,461,0,0,0,0,0,0,0,0,3,0,0,5,0,1,0,0,0,0,0,0,3,0,0,0,1,0,4,0,0,0,6,0,0,0,0,0,1,0,0
chaparral,0,0,0,0,0,0,484,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
church,1,0,0,0,0,0,0,376,0,0,18,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,2,0
circular_farmland,0,0,1,0,0,0,1,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud,0,0,0,0,0,0,0,0,0,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0
commercial_area,0,0,1,0,0,1,0,10,0,0,416,4,0,0,1,0,1,0,9,4,0,0,0,0,0,0,0,28,1,0,5,0,0,0,0,0,2,0,0,4,2,1,0,0,0
dense_residential,0,0,0,0,0,0,0,0,0,0,3,429,0,0,0,0,0,1,7,2,0,1,0,20,14,0,0,1,1,0,1,0,0,1,0,0,4,1,0,1,1,2,0,0,0
desert,0,0,0,0,1,0,2,0,0,0,0,0,434,0,0,0,0,0,0,0,0,1,0,0,0,45,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0
forest,0,0,0,0,1,0,0,0,0,1,0,0,0,450,1,0,0,0,0,0,0,1,17,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4
freeway,0,0,2,1,0,1,0,0,0,0,0,0,0,2,458,1,0,0,2,4,0,0,0,2,0,0,10,0,1,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
golf_course,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,482,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ground_track_field,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,470,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,2,0,0,0
harbor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
industrial_area,0,1,1,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,452,0,0,0,0,1,0,0,0,6,0,0,6,0,0,0,0,0,8,0,0,0,4,2,0,3,0
intersection,0,0,1,0,0,0,0,1,0,0,3,3,0,0,1,0,2,0,1,464,0,0,0,6,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0
island,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1
lake,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,472,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,3,0,1,0,0,0,0,6
meadow,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,6,0,0,0,0,0,1,468,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,2,0,0,0,2
medium_residential,0,0,2,0,0,0,0,0,0,0,1,26,0,0,1,0,0,0,3,0,0,0,0,435,8,0,0,2,0,0,0,0,0,1,0,0,0,0,6,0,0,5,0,0,0
mobile_home_park,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,1,0,1,5,0,0,0,0,26,447,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
mountain,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,469,0,1,0,0,0,0,1,0,0,0,0,11,0,0,0,0,2,0,1
overpass,0,0,1,0,0,2,0,0,0,0,0,0,0,0,4,0,1,0,1,2,0,0,0,0,0,0,471,0,0,1,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0
palace,0,1,3,0,0,2,0,49,0,0,3,2,0,0,2,0,2,1,5,0,1,0,0,1,1,0,0,394,0,0,1,0,0,0,0,0,10,0,3,3,2,1,0,3,0
parking_lot,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,3,0,0,0,0,1,0,0,2,476,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
railway,0,1,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,2,0,1,453,18,0,0,0,2,0,0,0,0,0,0,0,0,1,0
railway_station,0,5,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,36,419,0,0,0,0,0,1,0,0,6,1,0,1,0,0
rectangular_farmland,0,2,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,442,0,0,0,0,0,0,0,0,0,0,34,0,0
river,0,0,3,0,0,3,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,8,0,0,0,9,0,0,0,0,0,5,439,0,0,0,1,0,0,0,0,2,7,0,8
roundabout,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,1,0,0,478,0,0,0,0,0,0,0,0,0,0,0
runway,4,11,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,0,0,0,0,0,0,0,0,0,0
sea_ice,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,478,0,3,0,0,0,0,0,0,0
ship,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,0,0,0,0,0,0,0,0
