class_name,precision,recall,f1-score,support,score
airplane,0.9958246346555324,0.9734693877551021,0.9845201238390093,490.0,
airport,0.916988416988417,0.9693877551020408,0.9424603174603174,490.0,
baseball_diamond,0.9754098360655737,0.9714285714285714,0.9734151329243353,490.0,
basketball_court,0.9721627408993576,0.926530612244898,0.9487983281086729,490.0,
beach,0.991701244813278,0.9755102040816327,0.9835390946502057,490.0,
bridge,0.9708333333333333,0.9510204081632653,0.9608247422680413,490.0,
chaparral,0.9958677685950413,0.9836734693877551,0.9897330595482546,490.0,
church,0.7784431137724551,0.7959183673469388,0.7870837537840565,490.0,
circular_farmland,0.985655737704918,0.9816326530612245,0.983640081799591,490.0,
cloud,0.9958677685950413,0.9836734693877551,0.9897330595482546,490.0,
commercial_area,0.8290441176470589,0.9204081632653062,0.8723404255319149,490.0,
dense_residential,0.8982035928143712,0.9183673469387755,0.9081735620585267,490.0,
desert,0.9588477366255144,0.9510204081632653,0.9549180327868853,490.0,
forest,0.9627329192546584,0.9489795918367347,0.9558067831449126,490.0,
freeway,0.9438669438669439,0.926530612244898,0.9351184346035015,490.0,
golf_course,0.9585798816568047,0.9918367346938776,0.9749247743229689,490.0,
ground_track_field,0.9601593625498008,0.9836734693877551,0.9717741935483871,490.0,
harbor,0.9662698412698413,0.9938775510204082,0.9798792756539235,490.0,
industrial_area,0.9206680584551148,0.9,0.9102167182662538,490.0,
intersection,0.9647302904564315,0.9489795918367347,0.9567901234567902,490.0,
island,0.9696969696969697,0.9795918367346939,0.9746192893401016,490.0,
lake,0.9525862068965517,0.9020408163265307,0.9266247379454927,490.0,
meadow,0.9788135593220338,0.9428571428571428,0.9604989604989606,490.0,
medium_residential,0.8862275449101796,0.9061224489795918,0.8960645812310797,490.0,
mobile_home_park,0.9579158316633266,0.9755102040816327,0.9666329625884732,490.0,
mountain,0.9389002036659878,0.9408163265306122,0.9398572884811417,490.0,
overpass,0.9536290322580645,0.9653061224489796,0.9594320486815415,490.0,
palace,0.8608923884514436,0.6693877551020408,0.7531572904707233,490.0,
parking_lot,0.9814432989690721,0.9714285714285714,0.9764102564102564,490.0,
railway,0.9481327800829875,0.9326530612244898,0.9403292181069959,490.0,
railway_station,0.8921001926782274,0.9448979591836735,0.9177403369672944,490.0,
rectangular_farmland,0.9426751592356688,0.9061224489795918,0.9240374609781478,490.0,
river,0.9607438016528925,0.9489795918367347,0.9548254620123203,490.0,
roundabout,0.9735234215885947,0.9755102040816327,0.9745158002038736,490.0,
runway,0.9725158562367865,0.9387755102040817,0.9553478712357217,490.0,
sea_ice,0.9938775510204082,0.9938775510204082,0.9938775510204082,490.0,
ship,0.9774590163934426,0.9734693877551021,0.9754601226993865,490.0,
snowberg,0.9586614173228346,0.9938775510204082,0.9759519038076152,490.0,
sparse_residential,0.9382716049382716,0.9306122448979591,0.9344262295081968,490.0,
stadium,0.9713114754098361,0.9673469387755103,0.9693251533742331,490.0,
storage_tank,0.9562624254473161,0.9816326530612245,0.9687814702920443,490.0,
tennis_court,0.9232245681381958,0.9816326530612245,0.9515331355093967,490.0,
terrace,0.8909774436090225,0.9673469387755103,0.9275929549902152,490.0,
thermal_power_station,0.9494949494949495,0.9591836734693877,0.9543147208121827,490.0,
wetland,0.907070707070707,0.9163265306122449,0.9116751269035533,490.0,
accuracy,,,,,0.9458049886621315
macro avg,0.9461836610260724,0.9458049886621317,0.9454827100305367,22050.0,
weighted avg,0.9461836610260725,0.9458049886621315,0.945482710030537,22050.0,
