,airplane,airport,baseball_diamond,basketball_court,beach,bridge,chaparral,church,circular_farmland,cloud,commercial_area,dense_residential,desert,forest,freeway,golf_course,ground_track_field,harbor,industrial_area,intersection,island,lake,meadow,medium_residential,mobile_home_park,mountain,overpass,palace,parking_lot,railway,railway_station,rectangular_farmland,river,roundabout,runway,sea_ice,ship,snowberg,sparse_residential,stadium,storage_tank,tennis_court,terrace,thermal_power_station,wetland
airplane,477,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0
airport,0,475,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,3,0,1,0,0,0,0,0,0,0,1
baseball_diamond,0,0,476,1,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
basketball_court,0,0,1,454,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,26,0,0,0
beach,0,0,0,0,478,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
bridge,0,0,0,0,0,466,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,10,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0
chaparral,0,0,0,0,0,0,482,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
church,0,0,0,1,0,0,0,390,0,0,42,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,38,0,0,0,0,0,0,0,0,1,0,3,2,2,0,1,4,0
circular_farmland,0,0,0,0,0,0,1,0,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0
cloud,0,0,0,0,0,0,0,0,0,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,5,0
commercial_area,0,1,0,1,0,0,0,6,0,0,451,10,0,0,0,0,2,0,4,2,0,0,0,0,0,0,0,5,0,0,2,0,0,1,0,0,0,0,0,1,2,0,0,2,0
dense_residential,0,0,0,0,0,0,0,0,0,0,7,450,0,0,0,1,0,2,0,1,0,0,0,14,11,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
desert,0,0,0,0,0,0,1,0,1,0,0,0,466,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,0,1,0,3,0,0,1,0,0,0,0
forest,0,0,0,1,0,0,0,0,0,0,0,0,0,465,0,3,0,0,0,0,2,0,3,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3
freeway,0,0,1,1,0,1,0,0,0,0,0,0,0,2,454,1,0,0,1,4,0,0,1,2,0,0,5,0,3,11,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
golf_course,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,486,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ground_track_field,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0
harbor,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,487,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
industrial_area,0,7,0,1,0,0,0,1,0,0,4,1,0,0,1,0,1,0,441,0,0,0,0,1,0,0,0,3,2,0,11,0,0,0,0,0,4,0,1,1,4,1,0,5,0
intersection,0,0,2,0,0,0,0,1,0,0,4,1,0,0,1,0,2,0,2,465,0,0,0,4,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
island,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,2
lake,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,442,0,0,0,2,0,1,0,0,0,1,3,0,0,1,0,5,0,2,0,0,0,0,29
meadow,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,10,1,0,0,0,0,0,462,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,2,0,0,0,3
medium_residential,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,444,6,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,2,0,0,0
mobile_home_park,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,478,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mountain,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,461,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,2
overpass,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,1,2,0,0,0,0,0,0,473,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0
palace,0,2,0,0,0,4,0,101,0,0,19,1,0,0,0,0,1,1,6,0,1,0,0,2,0,0,0,328,1,0,3,1,1,3,0,0,1,0,4,1,3,1,2,3,0
parking_lot,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,3,1,4,0,0,0,0,1,0,0,0,476,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
railway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,457,20,1,0,0,0,0,0,0,0,0,0,0,1,1,0
railway_station,0,3,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,11,463,0,0,0,0,0,0,0,0,2,1,0,0,0,0
rectangular_farmland,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,444,0,0,0,0,0,0,0,0,0,0,41,0,1
river,0,0,1,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,2,465,0,0,0,0,1,0,0,0,0,5,0,5
roundabout,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,478,0,0,0,0,0,0,0,0,0,0,0
runway,2,23,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,460,0,0,0,0,0,0,0,0,0,0
sea_ice,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487,0,2,0,0,0,0,0,0,0
ship,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477,0,0,0,2,0,0,0,0
snowberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,487,0,0,0,0,0,0,0
sparse_residential,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,0,0,0,1,0,1,0,2,0,1,0,0,0,0,456,0,0,2,0,0,0
stadium,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,474,1,0,0,1,0
storage_tank,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,481,0,0,3,0
tennis_court,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,481,0,0,0
terrace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,474,0,0
thermal_power_station,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,2,0,0,470,0
wetland,0,0,0,0,2,1,0,0,0,0,0,0,1,5,0,2,0,0,1,0,4,16,4,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,449
