,airplane,airport,baseball_diamond,basketball_court,beach,bridge,chaparral,church,circular_farmland,cloud,commercial_area,dense_residential,desert,forest,freeway,golf_course,ground_track_field,harbor,industrial_area,intersection,island,lake,meadow,medium_residential,mobile_home_park,mountain,overpass,palace,parking_lot,railway,railway_station,rectangular_farmland,river,roundabout,runway,sea_ice,ship,snowberg,sparse_residential,stadium,storage_tank,tennis_court,terrace,thermal_power_station,wetland
airplane,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
airport,0,469,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,1,5,0,2,0,0,0,0,0,0,0,0
baseball_diamond,0,0,480,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
basketball_court,0,0,1,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,24,0,0,0
beach,0,0,0,0,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bridge,0,0,0,0,0,469,0,0,0,0,0,0,0,0,2,0,0,5,0,1,0,0,0,0,0,0,5,0,0,0,1,0,3,0,1,0,3,0,0,0,0,0,0,0,0
chaparral,0,0,0,0,0,0,488,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
church,0,0,0,0,0,0,0,397,0,0,36,1,0,0,1,0,0,0,3,1,0,0,0,2,0,0,0,41,1,0,0,0,0,0,0,0,1,0,1,2,2,0,1,0,0
circular_farmland,0,0,0,0,0,0,1,0,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0
cloud,0,0,0,0,0,0,0,0,0,484,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0
commercial_area,0,2,0,1,0,1,0,3,0,0,448,4,0,0,0,0,1,1,4,5,0,0,0,0,0,0,0,12,0,0,2,0,0,2,0,0,1,0,0,0,2,1,0,0,0
dense_residential,0,0,0,0,0,0,0,0,0,0,2,441,0,0,0,1,0,3,0,2,0,1,0,21,13,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,1,0,0,0
desert,0,0,0,0,0,0,3,0,0,0,0,0,463,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
forest,0,0,0,0,0,0,0,0,0,1,0,0,0,468,0,2,0,0,0,0,0,0,4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4
freeway,0,0,1,0,0,0,0,0,0,0,0,0,0,3,462,1,0,0,1,3,0,0,0,2,0,0,5,0,3,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
golf_course,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,483,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
ground_track_field,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0
harbor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
industrial_area,0,5,0,1,0,0,0,1,0,0,4,3,0,0,0,0,1,0,449,0,0,0,0,1,1,0,0,7,3,0,5,0,0,0,0,0,1,0,1,0,4,1,0,2,0
intersection,0,0,1,0,0,0,0,0,0,0,1,5,0,0,1,0,2,0,1,471,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
island,0,0,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,477,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,2
