class_name,precision,recall,f1-score,support,score
airplane,0.9838709677419355,0.9959183673469387,0.9898580121703854,490.0,
airport,0.9346534653465347,0.963265306122449,0.9487437185929648,490.0,
baseball_diamond,0.9796334012219959,0.9816326530612245,0.9806320081549439,490.0,
basketball_court,0.9683544303797469,0.936734693877551,0.9522821576763485,490.0,
beach,0.9816700610997964,0.9836734693877551,0.9826707441386341,490.0,
bridge,0.9789915966386554,0.9510204081632653,0.9648033126293996,490.0,
chaparral,0.9917864476386037,0.9857142857142858,0.9887410440122825,490.0,
church,0.8565400843881856,0.8285714285714286,0.8423236514522822,490.0,
circular_farmland,0.9896694214876033,0.9775510204081632,0.9835728952772074,490.0,
cloud,0.9857142857142858,0.9857142857142858,0.9857142857142858,490.0,
commercial_area,0.8823529411764706,0.9183673469387755,0.9,490.0,
dense_residential,0.9208333333333333,0.9020408163265307,0.911340206185567,490.0,
desert,0.9707112970711297,0.9469387755102041,0.9586776859504132,490.0,
forest,0.9566115702479339,0.9448979591836735,0.9507186858316222,490.0,
freeway,0.9581589958158996,0.9346938775510204,0.9462809917355371,490.0,
golf_course,0.9567779960707269,0.9938775510204082,0.974974974974975,490.0,
ground_track_field,0.967741935483871,0.9795918367346939,0.973630831643002,490.0,
harbor,0.9700598802395209,0.9918367346938776,0.9808274470232089,490.0,
industrial_area,0.934156378600823,0.926530612244898,0.930327868852459,490.0,
intersection,0.9610655737704918,0.9571428571428572,0.9591002044989775,490.0,
island,0.9714285714285714,0.9714285714285714,0.9714285714285714,490.0,
lake,0.9222903885480572,0.9204081632653062,0.9213483146067416,490.0,
meadow,0.9808510638297873,0.9408163265306122,0.9604166666666667,490.0,
medium_residential,0.8931451612903226,0.9040816326530612,0.8985801217038539,490.0,
mobile_home_park,0.952755905511811,0.9877551020408163,0.969939879759519,490.0,
mountain,0.9415322580645161,0.9530612244897959,0.947261663286004,490.0,
overpass,0.973630831643002,0.9795918367346939,0.9766022380467956,490.0,
palace,0.828693790149893,0.789795918367347,0.8087774294670846,490.0,
parking_lot,0.9734151329243353,0.9714285714285714,0.9724208375893769,490.0,
railway,0.967391304347826,0.9081632653061225,0.9368421052631579,490.0,
railway_station,0.8956356736242884,0.963265306122449,0.928220255653884,490.0,
rectangular_farmland,0.9408033826638478,0.9081632653061225,0.9241952232606438,490.0,
river,0.9574036511156186,0.963265306122449,0.960325534079349,490.0,
roundabout,0.9875776397515528,0.9734693877551021,0.9804727646454265,490.0,
runway,0.989247311827957,0.9387755102040817,0.9633507853403142,490.0,
sea_ice,0.9979338842975206,0.9857142857142858,0.9917864476386037,490.0,
ship,0.9583333333333334,0.9857142857142858,0.971830985915493,490.0,
snowberg,0.9741035856573705,0.9979591836734694,0.9858870967741935,490.0,
sparse_residential,0.9401197604790419,0.9612244897959183,0.9505549949545913,490.0,
stadium,0.9656565656565657,0.9755102040816327,0.9705583756345177,490.0,
storage_tank,0.9659318637274549,0.9836734693877551,0.974721941354904,490.0,
tennis_court,0.9378640776699029,0.9857142857142858,0.9611940298507463,490.0,
terrace,0.9089147286821705,0.9571428571428572,0.9324055666003976,490.0,
thermal_power_station,0.9875259875259875,0.9693877551020408,0.9783728115345005,490.0,
wetland,0.9159663865546218,0.889795918367347,0.9026915113871635,490.0,
accuracy,,,,,0.9522448979591837
macro avg,0.9523890289727309,0.9522448979591837,0.9521201528657106,22050.0,
weighted avg,0.9523890289727314,0.9522448979591837,0.952120152865711,22050.0,
