class_name,precision,recall,f1-score,support,score
airplane,0.9918200408997955,0.9897959183673469,0.9908069458631257,490.0,
airport,0.9251439539347409,0.9836734693877551,0.9535113748763601,490.0,
baseball_diamond,0.9601593625498008,0.9836734693877551,0.9717741935483871,490.0,
basketball_court,0.9798206278026906,0.8918367346938776,0.9337606837606838,490.0,
beach,0.9700598802395209,0.9918367346938776,0.9808274470232089,490.0,
bridge,0.9870410367170627,0.9326530612244898,0.9590766002098636,490.0,
chaparral,0.9818181818181818,0.9918367346938776,0.9868020304568528,490.0,
church,0.8447058823529412,0.7326530612244898,0.7846994535519126,490.0,
circular_farmland,0.9895833333333334,0.9693877551020408,0.979381443298969,490.0,
cloud,0.9837728194726166,0.9897959183673469,0.9867751780264497,490.0,
commercial_area,0.8747514910536779,0.8979591836734694,0.8862034239677744,490.0,
dense_residential,0.9032921810699589,0.8959183673469387,0.8995901639344263,490.0,
desert,0.9836065573770492,0.8571428571428571,0.916030534351145,490.0,
forest,0.9537815126050421,0.926530612244898,0.9399585921325052,490.0,
freeway,0.9334763948497854,0.8877551020408163,0.9100418410041841,490.0,
golf_course,0.9815195071868583,0.9755102040816327,0.9785056294779939,490.0,
ground_track_field,0.9673469387755103,0.9673469387755103,0.9673469387755103,490.0,
harbor,0.9799196787148594,0.9959183673469387,0.9878542510121457,490.0,
industrial_area,0.9048582995951417,0.9122448979591836,0.9085365853658537,490.0,
intersection,0.9644351464435147,0.9408163265306122,0.9524793388429752,490.0,
island,0.9654471544715447,0.9693877551020408,0.9674134419551935,490.0,
lake,0.8994082840236687,0.9306122448979591,0.9147442326980942,490.0,
meadow,0.946611909650924,0.9408163265306122,0.9437052200614124,490.0,
medium_residential,0.8607843137254902,0.8959183673469387,0.878,490.0,
mobile_home_park,0.9451219512195121,0.9489795918367347,0.9470468431771895,490.0,
mountain,0.8621323529411765,0.9571428571428572,0.90715667311412,490.0,
overpass,0.9208494208494209,0.9734693877551021,0.9464285714285714,490.0,
palace,0.7296222664015904,0.7489795918367347,0.7391742195367573,490.0,
parking_lot,0.9674134419551935,0.9693877551020408,0.9683995922528033,490.0,
railway,0.9365750528541226,0.9040816326530612,0.9200415368639667,490.0,
railway_station,0.8893360160965795,0.9020408163265307,0.8956433637284701,490.0,
rectangular_farmland,0.9083503054989817,0.9102040816326531,0.90927624872579,490.0,
river,0.967741935483871,0.9183673469387755,0.9424083769633508,490.0,
roundabout,0.9774127310061602,0.9714285714285714,0.9744114636642784,490.0,
runway,0.9710743801652892,0.9591836734693877,0.9650924024640657,490.0,
sea_ice,0.9836065573770492,0.9795918367346939,0.9815950920245399,490.0,
ship,0.9454191033138402,0.9897959183673469,0.967098703888335,490.0,
snowberg,0.9662698412698413,0.9938775510204082,0.9798792756539235,490.0,
sparse_residential,0.9575371549893843,0.9204081632653062,0.9386056191467221,490.0,
stadium,0.95,0.9693877551020408,0.9595959595959596,490.0,
storage_tank,0.96579476861167,0.9795918367346939,0.9726443768996961,490.0,
tennis_court,0.8782287822878229,0.9714285714285714,0.9224806201550387,490.0,
terrace,0.8939096267190569,0.9285714285714286,0.9109109109109109,490.0,
thermal_power_station,0.9466403162055336,0.9775510204081632,0.9618473895582329,490.0,
wetland,0.9281045751633987,0.8693877551020408,0.8977871443624869,490.0,
accuracy,,,,,0.937641723356009
macro avg,0.9383178904238488,0.937641723356009,0.9374522206291164,22050.0,
weighted avg,0.9383178904238489,0.937641723356009,0.9374522206291163,22050.0,
