,airplane,airport,baseball_diamond,basketball_court,beach,bridge,chaparral,church,circular_farmland,cloud,commercial_area,dense_residential,desert,forest,freeway,golf_course,ground_track_field,harbor,industrial_area,intersection,island,lake,meadow,medium_residential,mobile_home_park,mountain,overpass,palace,parking_lot,railway,railway_station,rectangular_farmland,river,roundabout,runway,sea_ice,ship,snowberg,sparse_residential,stadium,storage_tank,tennis_court,terrace,thermal_power_station,wetland
airplane,484,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
airport,0,477,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,1,0,0,0,0,0,0,0,0
baseball_diamond,0,0,484,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
basketball_court,0,0,1,438,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,2,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,38,0,0,0
beach,0,0,0,0,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bridge,0,0,0,0,0,476,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0
chaparral,0,0,0,0,0,0,487,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
church,0,0,0,0,0,0,0,379,0,0,17,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,81,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,3,0
circular_farmland,0,0,1,0,0,0,3,0,475,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0
cloud,0,0,0,0,0,0,0,0,0,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
commercial_area,0,0,0,0,0,1,0,7,0,0,427,5,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,31,0,0,1,0,0,1,0,0,1,0,0,2,2,1,0,3,0
dense_residential,0,0,0,0,0,0,0,0,0,0,3,443,0,0,0,1,0,1,0,2,0,1,0,15,10,0,0,3,0,0,0,0,0,1,0,0,4,1,0,1,1,3,0,0,0
desert,0,0,0,0,0,0,2,0,0,1,0,0,435,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,1,0,0,2,0,2,0,0,1,0,0,0,1
forest,0,0,0,0,1,0,0,0,0,1,0,0,0,458,0,0,0,0,0,0,0,1,11,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,6
freeway,0,0,0,1,0,2,0,0,0,0,0,0,0,2,457,1,0,0,1,3,0,0,0,2,0,0,9,0,4,1,4,0,1,0,0,0,0,0,1,0,0,1,0,0,0
golf_course,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,481,0,0,0,0,1,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ground_track_field,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,469,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
harbor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
industrial_area,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,1,2,0,435,0,0,0,0,0,2,0,0,14,1,0,10,0,0,0,0,0,8,0,0,1,5,1,0,5,0
intersection,0,0,1,0,0,0,0,0,0,0,4,5,0,0,1,0,1,0,2,467,0,0,0,3,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
island,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2,0,0,0,0,0,0,0,2
lake,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,469,0,0,0,3,0,0,0,0,0,1,1,0,0,2,0,3,0,1,0,0,0,0,8
