,airplane,airport,baseball_diamond,basketball_court,beach,bridge,chaparral,church,circular_farmland,cloud,commercial_area,dense_residential,desert,forest,freeway,golf_course,ground_track_field,harbor,industrial_area,intersection,island,lake,meadow,medium_residential,mobile_home_park,mountain,overpass,palace,parking_lot,railway,railway_station,rectangular_farmland,river,roundabout,runway,sea_ice,ship,snowberg,sparse_residential,stadium,storage_tank,tennis_court,terrace,thermal_power_station,wetland
airplane,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
airport,0,479,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,1,0,0,0,0,0,0,0,0
baseball_diamond,0,0,483,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
basketball_court,0,0,2,433,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,43,0,0,0
beach,0,0,0,0,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
bridge,0,1,0,0,1,467,0,0,0,0,0,0,0,0,2,0,1,5,0,1,0,0,0,0,0,0,4,0,0,0,2,0,3,0,0,0,3,0,0,0,0,0,0,0,0
chaparral,0,0,0,0,0,0,488,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
church,0,0,0,0,0,0,0,388,0,0,22,0,0,0,2,0,0,0,2,1,0,1,0,1,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,1,0
circular_farmland,0,0,1,0,0,0,3,0,476,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0
cloud,0,0,0,0,0,0,0,0,0,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,4,0
commercial_area,0,0,0,0,0,1,0,3,0,0,434,6,0,0,2,0,0,1,6,5,0,0,0,0,0,0,0,22,1,0,1,0,0,2,0,0,2,0,0,0,2,1,0,1,0
