experiment_id,base_experiment_id,seed,output_suffix,comparable_group_id,model_name,fl_method,privacy,global_rounds,local_epochs,epochs,batch_size,learning_rate,weight_decay,selected_ckks_num_parameters,ckks_num_chunks,test_accuracy,test_macro_f1,test_weighted_f1,best_val_accuracy,best_epoch,best_round
A0_centralized_vit_base_10ep,A0_centralized_vit_base,,10ep,A0_centralized_vit_base_epochs10_vit_base_patch16_224_bs16_lr0.0001_wd0.0001,vit_base_patch16_224,none,none,,,10.0,16.0,0.0001,0.0001,,,0.9619047619047619,0.9617393601860471,0.9617393601860469,0.9873015873015873,7.0,
A0_centralized_vit_base,A0_centralized_vit_base,,,A0_centralized_vit_base_epochs5_vit_base_patch16_224_bsunknown_lrunknown_wdunknown,vit_base_patch16_224,none,none,,,5.0,,,,,,0.9365079365079365,0.9380375737756953,0.9380375737756955,0.9555555555555556,4.0,
A1_fedavg_iid_vit_base_10r1e,A1_fedavg_iid_vit_base,,10r1e,A1_fedavg_iid_vit_base_r10_e1_vit_base_patch16_224_iid_bs16_lr0.0001_wd0.0001,vit_base_patch16_224,fedavg,none,10.0,1.0,,16.0,0.0001,0.0001,,,0.9873015873015873,0.9873834684040469,0.9873834684040467,0.9904761904761905,,6.0
A1_fedavg_iid_vit_base_10r1e_s123,A1_fedavg_iid_vit_base,123.0,10r1e_s123,A1_fedavg_iid_vit_base_r10_e1_vit_base_patch16_224_iid_bs16_lr0.0001_wd0.0001,vit_base_patch16_224,fedavg,none,10.0,1.0,,16.0,0.0001,0.0001,0.0,,0.9777777777777777,0.9776709839001275,0.9776709839001273,0.9873015873015873,,10.0
A1_fedavg_iid_vit_base_10r1e_s42,A1_fedavg_iid_vit_base,42.0,10r1e_s42,A1_fedavg_iid_vit_base_r10_e1_vit_base_patch16_224_iid_bs16_lr0.0001_wd0.0001,vit_base_patch16_224,fedavg,none,10.0,1.0,,16.0,0.0001,0.0001,0.0,,0.9650793650793651,0.964984168182166,0.9649841681821659,0.9936507936507937,,6.0
A2_fedavg_noniid_vit_base_10r1e,A2_fedavg_noniid_vit_base,,10r1e,A2_fedavg_noniid_vit_base_r10_e1_vit_base_patch16_224_noniid_bs16_lr0.0001_wd0.0001,vit_base_patch16_224,fedavg,none,10.0,1.0,,16.0,0.0001,0.0001,,,0.9809523809523809,0.9810193803142317,0.9810193803142317,0.9936507936507937,,7.0
A2_fedavg_noniid_vit_base_10r1e_s123,A2_fedavg_noniid_vit_base,123.0,10r1e_s123,A2_fedavg_noniid_vit_base_r10_e1_vit_base_patch16_224_noniid_bs16_lr0.0001_wd0.0001,vit_base_patch16_224,fedavg,none,10.0,1.0,,16.0,0.0001,0.0001,0.0,,0.9746031746031746,0.9746267010528888,0.9746267010528887,0.9904761904761905,,10.0
A2_fedavg_noniid_vit_base_10r1e_s42,A2_fedavg_noniid_vit_base,42.0,10r1e_s42,A2_fedavg_noniid_vit_base_r10_e1_vit_base_patch16_224_noniid_bs16_lr0.0001_wd0.0001,vit_base_patch16_224,fedavg,none,10.0,1.0,,16.0,0.0001,0.0001,0.0,,0.9873015873015873,0.9871737052255088,0.9871737052255087,0.9904761904761905,,9.0
A3_fedavg_ckks_iid_vit_base_10r1e_chunked,A3_fedavg_ckks_iid_vit_base,,10r1e_chunked,A3_fedavg_ckks_iid_vit_base_r10_e1_vit_base_patch16_224_iid_selected_layer_ckks_chunks4_params16149_bs16_lr0.0001_wd0.0001,vit_base_patch16_224,fedavg,selected_layer_ckks,10.0,1.0,,16.0,0.0001,0.0001,16149.0,4.0,0.9746031746031746,0.9744533482655207,0.9744533482655204,0.9904761904761905,,10.0
A3_fedavg_ckks_iid_vit_base_10r1e_chunked_s123,A3_fedavg_ckks_iid_vit_base,123.0,10r1e_chunked_s123,A3_fedavg_ckks_iid_vit_base_r10_e1_vit_base_patch16_224_iid_selected_layer_ckks_chunks4_params16149_bs16_lr0.0001_wd0.0001,vit_base_patch16_224,fedavg,selected_layer_ckks,10.0,1.0,,16.0,0.0001,0.0001,16149.0,4.0,0.9873015873015873,0.987290993520137,0.9872909935201368,0.9936507936507937,,8.0
